date_exp,gpu_platform,BW,img_resolution,gpu_power,av_end2end_delay,av_gpu_delay,av_num_obj,AP1,powermeter_av,rapl_av,clocksp_av
2024-01-01 08:10:00,NVIDIA A100,10,82,279,98.63,41.27,13,0.94,90.26,74.07,2437
2024-01-01 08:15:00,NVIDIA RTX 3090,10,54,163,18.2,48.11,13,0.79,34.72,40.26,3945
2024-01-01 08:20:00,NVIDIA A100,100,66,167,62.88,27.34,7,0.67,23.18,50.42,3757
2024-01-01 08:25:00,NVIDIA A100,10,83,279,16.83,12.66,12,0.69,81.36,59.05,2777
2024-01-01 08:30:00,NVIDIA A100,50,79,221,26.64,28.01,10,0.91,13.3,47.43,3009
2024-01-01 08:35:00,NVIDIA RTX 3090,50,52,271,104.38,46.95,11,0.78,37.78,5.72,3579
2024-01-01 08:40:00,NVIDIA RTX 3090,50,57,259,82.79,7.24,11,0.69,129.77,55.28,3219
2024-01-01 08:45:00,NVIDIA RTX 3090,10,61,162,8.11,17.49,9,0.69,114.17,58.19,3397
2024-01-01 08:50:00,NVIDIA A100,20,97,78,61.78,8.53,3,0.85,81.36,45.93,2541
2024-01-01 08:55:00,NVIDIA RTX 3090,50,86,261,73.25,8.82,10,0.75,114.97,45.72,3909
2024-01-01 09:00:00,NVIDIA A100,20,96,80,18.15,42.76,10,0.75,38.19,73.61,2639
2024-01-01 09:05:00,NVIDIA RTX 3090,20,57,187,102.7,28.27,4,0.74,64.11,33.18,2996
2024-01-01 09:10:00,NVIDIA RTX 3090,10,74,126,2.42,45.56,6,0.63,126.75,57.07,2628
2024-01-01 09:15:00,NVIDIA RTX 3090,100,76,96,208.93,13.23,9,0.57,82.62,73.58,3547
2024-01-01 09:20:00,NVIDIA A100,20,63,223,39.3,23.19,9,0.6,84.69,28.12,2982
2024-01-01 09:25:00,NVIDIA RTX 3090,50,99,190,5.19,41.8,5,0.6,141.96,78.88,3897
2024-01-01 09:30:00,NVIDIA A100,20,70,98,43.14,44.01,11,0.53,20.04,34.36,2364
2024-01-01 09:35:00,NVIDIA A100,20,59,56,10.13,44.67,14,0.97,76.38,39.28,2754
2024-01-01 09:40:00,NVIDIA RTX 3090,100,85,182,51.91,43.22,5,0.7,62.4,46.95,2814
2024-01-01 09:45:00,NVIDIA A100,10,71,111,7.54,46.34,11,0.6,78.16,75.98,2711
2024-01-01 09:50:00,NVIDIA A100,100,65,194,51.86,47.39,7,0.98,40.78,26.53,2091
2024-01-01 09:55:00,NVIDIA RTX 3090,20,70,265,42.65,21.22,6,0.5,56.11,7.92,2084
2024-01-01 10:00:00,NVIDIA RTX 3090,20,73,261,84.53,41.71,7,0.99,56.1,75.44,2792
2024-01-01 10:05:00,NVIDIA RTX 3090,50,60,142,18.28,12.13,14,0.83,50.45,25.32,2461
2024-01-01 10:10:00,NVIDIA RTX 3090,50,61,290,13.53,13.66,10,0.77,68.12,32.82,2544
2024-01-01 10:15:00,NVIDIA RTX 3090,10,88,87,73.88,26.49,7,0.85,140.62,55.57,3193
2024-01-01 10:20:00,NVIDIA A100,50,84,262,81.86,21.19,11,0.64,117.12,5.94,2857
2024-01-01 10:25:00,NVIDIA RTX 3090,50,74,283,18.11,7.39,10,0.53,39.47,43.42,3056
2024-01-01 10:30:00,NVIDIA A100,100,88,210,21.51,24.15,12,0.56,117.77,72.59,2556
2024-01-01 10:35:00,NVIDIA A100,10,55,244,19.35,7.13,12,0.73,49.57,71.51,2433
2024-01-01 10:40:00,NVIDIA RTX 3090,20,86,134,101.73,45.94,8,0.67,147.63,59.11,3724
2024-01-01 10:45:00,NVIDIA RTX 3090,50,89,167,18.48,44.81,11,0.77,76.88,29.48,2653
2024-01-01 10:50:00,NVIDIA A100,50,69,70,49.75,33.46,2,0.95,63.34,36.76,2886
2024-01-01 10:55:00,NVIDIA A100,50,85,235,49.5,49.66,1,0.83,133.3,74.4,3489
2024-01-01 11:00:00,NVIDIA A100,10,98,151,24.78,10.75,6,0.88,62.89,40.85,3852
2024-01-01 11:05:00,NVIDIA A100,10,56,121,43.62,33.76,6,0.99,68.23,42.09,2409
2024-01-01 11:10:00,NVIDIA RTX 3090,50,53,235,6.67,44.92,14,0.98,22.15,7.97,3872
2024-01-01 11:15:00,NVIDIA A100,100,72,136,32.5,4.53,2,0.65,133.36,24.19,3849
2024-01-01 11:20:00,NVIDIA A100,10,63,88,19.61,15.37,14,0.62,130.19,45.79,3266
2024-01-01 11:25:00,NVIDIA A100,10,78,61,110.13,22.48,10,0.85,60.89,12.32,3766
2024-01-01 11:30:00,NVIDIA A100,20,73,239,5.78,9.4,6,0.69,24.25,49.62,3027
2024-01-01 11:35:00,NVIDIA RTX 3090,20,69,283,6.53,44.87,8,0.81,123.71,51.44,2727
2024-01-01 11:40:00,NVIDIA RTX 3090,20,77,206,19.19,40.42,1,0.56,11.17,67.12,2196
2024-01-01 11:45:00,NVIDIA A100,50,83,163,31.43,7.3,9,0.68,145.88,23.43,2100
2024-01-01 11:50:00,NVIDIA RTX 3090,50,99,291,36.4,20.21,1,0.89,71.89,24.18,3028
2024-01-01 11:55:00,NVIDIA RTX 3090,50,93,277,10.69,40.08,9,0.64,149.96,25.46,2730
2024-01-01 12:00:00,NVIDIA A100,100,86,189,81.53,25.18,11,0.55,21.02,57.09,3282
2024-01-01 12:05:00,NVIDIA A100,20,92,149,179.49,33.24,12,0.76,45.24,52.06,2247
2024-01-01 12:10:00,NVIDIA RTX 3090,20,78,214,18.55,12.95,9,0.86,19.04,13.88,2535
2024-01-01 12:15:00,NVIDIA A100,50,83,295,23.84,29.98,7,0.53,142.39,47.28,3881
2024-01-01 12:20:00,NVIDIA A100,50,55,186,84.97,28.13,3,0.52,135.39,75.7,2364
2024-01-01 12:25:00,NVIDIA RTX 3090,100,97,259,18.65,17.26,4,0.91,126.77,61.92,2937
2024-01-01 12:30:00,NVIDIA A100,10,90,286,12.21,27.53,10,0.91,94.33,72.44,2880
2024-01-01 12:35:00,NVIDIA A100,100,93,260,30.28,22.88,6,0.58,59.89,33.45,3519
2024-01-01 12:40:00,NVIDIA RTX 3090,20,67,81,21.49,10.71,6,0.6,40.77,17.12,3658
2024-01-01 12:45:00,NVIDIA A100,50,98,65,33.1,44.63,4,0.62,39.17,75.87,2691
2024-01-01 12:50:00,NVIDIA A100,10,63,124,63.81,49.32,2,0.87,101.86,5.14,2863
2024-01-01 12:55:00,NVIDIA RTX 3090,100,88,296,11.81,23.05,6,0.53,130.22,49.2,3461
2024-01-01 13:00:00,NVIDIA RTX 3090,10,70,256,33.73,44.1,5,0.97,105.4,34.55,2517
2024-01-01 13:05:00,NVIDIA A100,20,81,209,25.52,31.12,2,0.5,12.99,10.58,3200
2024-01-01 13:10:00,NVIDIA RTX 3090,10,64,151,24.57,14.21,6,0.73,148.27,52.06,3975
2024-01-01 13:15:00,NVIDIA RTX 3090,10,69,101,5.37,32.03,8,0.98,133.36,28.29,2400
2024-01-01 13:20:00,NVIDIA RTX 3090,100,82,53,25.88,41.39,13,0.84,96.36,11.53,2619
2024-01-01 13:25:00,NVIDIA A100,100,52,231,59.15,8.27,10,0.59,147.11,76.44,3981
2024-01-01 13:30:00,NVIDIA A100,100,79,275,40.42,38.82,7,0.72,132.39,54.06,2295
2024-01-01 13:35:00,NVIDIA A100,10,79,150,3.36,45.87,11,0.58,23.75,12.53,2646
2024-01-01 13:40:00,NVIDIA RTX 3090,20,56,242,58.15,36.24,4,0.86,124.74,19.96,3629
2024-01-01 13:45:00,NVIDIA A100,50,52,288,87.74,49.58,4,0.99,125.64,7.48,2223
2024-01-01 13:50:00,NVIDIA A100,10,62,185,37.43,21.63,12,0.69,139.5,14.24,2977
2024-01-01 13:55:00,NVIDIA RTX 3090,20,87,244,77.66,10.37,5,0.96,43.7,55.7,3115
2024-01-01 14:00:00,NVIDIA RTX 3090,50,93,236,6.58,4.86,6,0.79,137.96,24.34,2142
2024-01-01 14:05:00,NVIDIA RTX 3090,50,78,237,9.54,1.84,8,0.89,64.18,43.63,2125
2024-01-01 14:10:00,NVIDIA RTX 3090,10,52,279,2.68,24.28,2,0.95,132.5,55.57,2579
2024-01-01 14:15:00,NVIDIA RTX 3090,50,81,277,94.52,29.58,1,0.7,146.18,73.03,2966
2024-01-01 14:20:00,NVIDIA A100,10,93,186,34.5,41.17,12,0.94,95.3,34.59,3719
2024-01-01 14:25:00,NVIDIA A100,100,53,228,39.94,38.39,8,0.77,76.71,71.75,2302
2024-01-01 14:30:00,NVIDIA A100,100,50,106,70.12,10.6,12,0.75,127.24,36.95,2900
2024-01-01 14:35:00,NVIDIA RTX 3090,10,62,293,16.67,6.59,3,0.75,124.24,12.3,3158
2024-01-01 14:40:00,NVIDIA A100,10,56,56,28.73,8.43,4,0.55,54.19,46.71,2446
2024-01-01 14:45:00,NVIDIA A100,50,61,103,38.46,47.83,12,0.55,139.74,76.29,3179
2024-01-01 14:50:00,NVIDIA A100,20,55,187,82.26,24.94,13,0.54,60.77,20.66,2331
2024-01-01 14:55:00,NVIDIA A100,10,60,211,90.85,44.75,5,0.84,58.76,35.46,2229
2024-01-01 15:00:00,NVIDIA A100,50,79,171,31.68,48.59,12,0.84,38.69,36.27,3884
2024-01-01 15:05:00,NVIDIA RTX 3090,100,54,254,68.63,10.62,13,0.53,105.86,73.43,3304
2024-01-01 15:10:00,NVIDIA RTX 3090,50,57,227,35.09,43.41,12,0.54,73.02,43.69,2710
2024-01-01 15:15:00,NVIDIA A100,10,82,64,101.24,30.89,1,0.98,127.99,36.47,3326
2024-01-01 15:20:00,NVIDIA A100,100,98,112,15.05,40.77,14,0.68,136.32,77.64,3013
2024-01-01 15:25:00,NVIDIA A100,20,52,121,11.55,24.53,11,0.93,61.65,35.79,3299
2024-01-01 15:30:00,NVIDIA RTX 3090,100,77,67,16.83,31.23,10,0.53,22.73,36.48,2716
2024-01-01 15:35:00,NVIDIA RTX 3090,50,54,156,128.07,35.23,6,0.74,11.66,16.54,3327
2024-01-01 15:40:00,NVIDIA A100,20,90,161,88.52,38.22,7,0.97,78.7,18.74,2734
2024-01-01 15:45:00,NVIDIA A100,100,89,64,63.33,35.8,2,0.86,95.98,50.78,3538
2024-01-01 15:50:00,NVIDIA RTX 3090,10,67,194,23.2,12.86,5,0.71,32.82,68.7,3732
2024-01-01 15:55:00,NVIDIA RTX 3090,20,74,59,2.02,26.2,2,0.78,112.24,25.38,3868
2024-01-01 16:00:00,NVIDIA A100,20,72,246,108.65,6.76,2,0.54,124.53,36.85,3612
2024-01-01 16:05:00,NVIDIA RTX 3090,50,73,127,37.57,31.69,9,0.9,107.4,42.51,2117
2024-01-01 16:10:00,NVIDIA RTX 3090,20,61,261,19.02,41.55,1,0.85,85.0,38.52,2433
2024-01-01 16:15:00,NVIDIA RTX 3090,100,73,214,13.73,29.03,8,0.84,54.63,77.99,2955
2024-01-01 16:20:00,NVIDIA RTX 3090,50,57,54,1.5,34.2,5,0.93,137.63,33.38,3601
2024-01-01 16:25:00,NVIDIA RTX 3090,20,96,212,4.0,7.58,1,0.89,86.51,66.35,2858
2024-01-01 16:30:00,NVIDIA A100,10,71,232,9.83,6.4,4,1.0,104.56,24.51,2714
2024-01-01 16:35:00,NVIDIA RTX 3090,10,81,247,13.96,8.81,1,0.86,79.95,66.96,2500
2024-01-01 16:40:00,NVIDIA RTX 3090,100,83,204,42.84,5.87,2,0.75,115.64,58.81,2640
2024-01-01 16:45:00,NVIDIA A100,50,88,118,25.8,8.63,14,0.82,53.06,8.52,2522
2024-01-01 16:50:00,NVIDIA RTX 3090,10,76,87,6.25,24.83,8,0.87,111.68,78.79,2741
2024-01-01 16:55:00,NVIDIA A100,50,79,213,20.15,14.43,7,0.72,93.38,42.16,3915
2024-01-01 17:00:00,NVIDIA RTX 3090,50,96,234,8.71,36.88,11,0.84,15.89,52.53,3382
2024-01-01 17:05:00,NVIDIA A100,10,55,257,6.42,44.2,9,0.63,54.81,20.92,3292
2024-01-01 17:10:00,NVIDIA RTX 3090,50,58,143,16.53,44.35,9,0.58,133.82,70.74,3190
2024-01-01 17:15:00,NVIDIA RTX 3090,10,99,205,18.2,25.39,8,0.98,80.51,18.98,3693
2024-01-01 17:20:00,NVIDIA A100,100,93,106,41.56,15.78,3,0.67,117.62,25.74,2902
2024-01-01 17:25:00,NVIDIA RTX 3090,10,99,151,29.94,36.17,10,0.57,19.77,9.12,2216
2024-01-01 17:30:00,NVIDIA RTX 3090,100,71,78,15.35,20.58,1,0.65,74.21,63.03,3426
2024-01-01 17:35:00,NVIDIA A100,50,62,135,29.12,18.08,3,0.67,147.88,34.93,3510
2024-01-01 17:40:00,NVIDIA RTX 3090,50,59,131,27.5,10.24,14,0.63,44.31,50.11,2207
2024-01-01 17:45:00,NVIDIA RTX 3090,20,64,118,51.41,1.87,3,0.62,24.67,63.15,3557
2024-01-01 17:50:00,NVIDIA A100,20,72,74,14.33,14.66,3,0.6,44.58,74.62,3738
2024-01-01 17:55:00,NVIDIA A100,10,94,129,1.2,1.43,8,0.58,136.26,25.76,2127
2024-01-01 18:00:00,NVIDIA RTX 3090,10,64,170,43.13,16.25,8,0.53,130.91,23.05,3011
2024-01-01 18:05:00,NVIDIA RTX 3090,50,74,71,37.92,34.38,13,0.58,135.02,57.24,2579
2024-01-01 18:10:00,NVIDIA A100,100,86,175,39.0,5.82,3,0.5,18.51,38.43,2299
2024-01-01 18:15:00,NVIDIA RTX 3090,100,74,168,44.39,4.85,1,0.93,92.33,41.67,2039
2024-01-01 18:20:00,NVIDIA RTX 3090,10,51,83,0.79,20.98,8,0.89,147.0,45.38,2476
2024-01-01 18:25:00,NVIDIA A100,100,62,247,203.77,30.14,11,0.64,12.45,38.39,2203
2024-01-01 18:30:00,NVIDIA A100,20,68,142,11.12,22.16,12,0.5,130.88,22.5,2422
2024-01-01 18:35:00,NVIDIA A100,100,52,234,0.62,38.25,5,0.75,114.77,44.55,2210
2024-01-01 18:40:00,NVIDIA RTX 3090,10,53,96,76.12,4.33,10,0.75,43.77,15.3,2594
2024-01-01 18:45:00,NVIDIA A100,100,89,160,29.42,21.0,14,0.7,109.48,55.3,3124
2024-01-01 18:50:00,NVIDIA A100,100,73,251,8.22,32.45,4,0.58,146.81,74.07,3776
2024-01-01 18:55:00,NVIDIA A100,50,70,249,90.29,19.04,5,0.71,48.07,73.28,3047
2024-01-01 19:00:00,NVIDIA A100,50,80,199,58.26,25.72,12,0.55,118.62,11.42,3162
2024-01-01 19:05:00,NVIDIA A100,20,72,58,80.42,32.99,6,0.69,83.81,10.93,2262
2024-01-01 19:10:00,NVIDIA RTX 3090,20,78,116,2.05,33.07,9,0.83,115.37,23.55,2992
2024-01-01 19:15:00,NVIDIA A100,100,77,86,7.62,46.88,13,0.61,130.48,76.11,3104
2024-01-01 19:20:00,NVIDIA RTX 3090,10,64,294,38.74,44.39,7,0.9,46.07,70.3,2819
2024-01-01 19:25:00,NVIDIA A100,10,92,232,213.67,45.67,14,0.54,95.86,33.42,2390
2024-01-01 19:30:00,NVIDIA RTX 3090,50,52,227,36.33,39.7,9,0.61,85.58,70.71,2208
2024-01-01 19:35:00,NVIDIA RTX 3090,50,92,104,13.77,28.43,11,0.76,115.03,15.31,2835
2024-01-01 19:40:00,NVIDIA A100,100,52,206,3.04,21.86,6,0.76,48.34,9.64,3128
2024-01-01 19:45:00,NVIDIA RTX 3090,20,89,70,15.12,46.13,7,0.69,109.38,6.84,2792
2024-01-01 19:50:00,NVIDIA A100,10,80,152,16.64,25.35,12,0.55,142.2,7.3,2099
2024-01-01 19:55:00,NVIDIA A100,20,95,144,54.57,6.35,9,0.53,40.34,65.59,2269
2024-01-01 20:00:00,NVIDIA A100,100,65,72,27.52,6.99,2,0.63,89.99,53.67,2053
2024-01-01 20:05:00,NVIDIA A100,50,85,122,61.72,39.48,12,0.52,62.44,31.9,2452
2024-01-01 20:10:00,NVIDIA A100,100,98,204,26.87,34.45,6,0.62,147.27,33.94,2779
2024-01-01 20:15:00,NVIDIA RTX 3090,50,53,55,23.54,38.76,4,0.73,117.96,25.4,2308
2024-01-01 20:20:00,NVIDIA RTX 3090,50,97,194,20.57,31.03,10,0.55,77.67,49.92,2421
2024-01-01 20:25:00,NVIDIA A100,50,69,202,36.77,22.5,13,0.87,61.65,60.47,3117
2024-01-01 20:30:00,NVIDIA A100,50,83,164,103.1,24.52,8,0.55,125.98,67.73,2204
2024-01-01 20:35:00,NVIDIA RTX 3090,50,94,284,49.29,18.06,7,0.58,75.41,73.29,3738
2024-01-01 20:40:00,NVIDIA RTX 3090,50,89,299,52.47,17.43,14,0.96,25.31,32.55,3947
2024-01-01 20:45:00,NVIDIA A100,10,64,201,48.25,26.8,2,0.56,113.64,12.3,3010
2024-01-01 20:50:00,NVIDIA RTX 3090,20,77,213,137.56,49.87,11,0.97,69.46,43.51,2037
