mcs_dl_i,mcs_ul_i,dl_kbps_i,ul_kbps_i,cpu_set,cpu_i,explode,predicted_dl_kbps,recommended_cpu_cores,recommended_mcs_dl,power_optimization,load_balancing
26,29,98131,33140,Core 4-7,0.190023829779153,0,0.6718796872012893,Core 0-3,25,Reduce Power,Normal Operation
22,8,6131,10961,Core 0-3,0.1348698409607966,0,0.6711479666508944,Core 0-3,21,Reduce Power,Normal Operation
29,5,90365,12866,Core 4-7,0.4189607367099003,0,0.6172642413863865,Core 0-3,28,Reduce Power,Normal Operation
12,17,57378,30395,Core 4-7,0.6626400433774335,1,0.7437082339428119,Core 0-3,11,Reduce Power,Normal Operation
25,20,45706,2285,Core 0-3,0.5882045633643049,1,0.7886885035075929,Core 0-3,24,Reduce Power,Normal Operation
17,1,59082,6742,Core 0-3,0.7195630966163382,1,0.7387435372620988,Core 0-3,16,Reduce Power,Normal Operation
27,22,58834,25029,Core 0-3,0.6255738225304838,0,0.7807191139023492,Core 0-3,26,Reduce Power,Normal Operation
27,18,72823,47580,Core 0-3,0.5022445527346583,0,0.6942375713191568,Core 0-3,26,Reduce Power,Normal Operation
10,15,54119,6856,Core 4-7,0.0,0,0.6727036589034711,Core 0-3,9,Reduce Power,Normal Operation
28,5,27375,23729,Core 4-7,0.7769697562697215,0,0.6042414901362702,Core 0-3,27,Reduce Power,Normal Operation
28,7,25014,20344,Core 4-7,0.2086434592501785,0,0.6743396186470062,Core 0-3,27,Reduce Power,Normal Operation
16,18,23080,18720,Core 4-7,0.9621212368951292,0,0.6217475011260323,Core 0-3,15,Reduce Power,Normal Operation
15,6,86327,42857,Core 4-7,0.3466339779010057,0,0.6424702371097362,Core 0-3,14,Reduce Power,Normal Operation
15,22,4788,26151,Core 0-3,0.3549170390982298,0,0.6238461026121145,Core 0-3,14,Reduce Power,Normal Operation
19,21,7234,32186,Core 4-7,0.3934360593917069,0,0.5999652778416895,Core 0-3,18,Reduce Power,Normal Operation
12,5,83500,22627,Core 4-7,0.5027415238549818,0,0.6942375713191568,Core 0-3,11,Reduce Power,Normal Operation
23,19,39508,23162,Core 4-7,0.2258429500014229,0,0.6620425367893076,Core 0-3,22,Reduce Power,Normal Operation
20,10,49849,34761,Core 4-7,0.3230354517317386,1,0.634425306891739,Core 0-3,19,Reduce Power,Normal Operation
25,15,8314,25860,Core 0-3,0.6868989588109349,0,0.7486702956046252,Core 0-3,24,Reduce Power,Normal Operation
3,10,43654,38431,Core 0-3,0.768207281746867,0,0.6205434967123601,Core 0-3,2,Reduce Power,Normal Operation
5,27,8351,42880,Core 0-3,0.2789552881312489,0,0.6422486669766547,Core 0-3,4,Reduce Power,Normal Operation
19,16,2100,14797,Core 4-7,0.5667080611827326,0,0.7838423516555804,Core 0-3,18,Reduce Power,Normal Operation
7,12,57114,38972,Core 4-7,0.39531582755137,0,0.5999652778416895,Core 0-3,6,Reduce Power,Normal Operation
21,18,72902,23288,Core 4-7,0.6004222271867056,0,0.786312836641422,Core 0-3,20,Reduce Power,Normal Operation
9,23,4192,39956,Core 0-3,0.3205111425922844,0,0.6284584134175689,Core 0-3,8,Reduce Power,Normal Operation
7,1,58527,27511,Core 4-7,0.6462248323196047,0,0.7364516584582345,Core 0-3,6,Reduce Power,Normal Operation
18,16,20873,49103,Core 0-3,0.4733458037098033,0,0.5964165354279383,Core 0-3,17,Reduce Power,Normal Operation
4,22,99136,28557,Core 4-7,0.4015409199036638,0,0.6134197545128243,Core 0-3,3,Reduce Power,Normal Operation
25,6,63305,18947,Core 0-3,0.4925406108792831,0,0.6542268905970162,Core 0-3,24,Reduce Power,Normal Operation
28,3,80883,18904,Core 0-3,0.7888809347568102,0,0.5749060981137383,Core 0-3,27,Reduce Power,Normal Operation
14,2,15007,21641,Core 4-7,0.481101960684878,0,0.6374229321679956,Core 0-3,13,Reduce Power,Normal Operation
18,28,63431,22807,Core 4-7,0.5569964184599494,0,0.7640895953124199,Core 0-3,17,Reduce Power,Normal Operation
26,2,75999,10841,Core 0-3,0.5179777114985508,0,0.7522454647358472,Core 0-3,25,Reduce Power,Normal Operation
9,13,72142,40621,Core 0-3,0.5188421591000167,0,0.7522454647358472,Core 0-3,8,Reduce Power,Normal Operation
26,9,73369,9642,Core 0-3,0.7436003687382058,0,0.7021698703042716,Core 0-3,25,Reduce Power,Normal Operation
21,16,97949,48534,Core 0-3,0.6664668934816704,0,0.7471828654687915,Core 0-3,20,Reduce Power,Normal Operation
2,27,97319,41484,Core 0-3,0.2279793523756975,0,0.6638501041453998,Core 0-3,1,Reduce Power,Normal Operation
20,5,39923,16432,Core 4-7,0.6097305778497101,0,0.8155198849281633,Core 0-3,19,Reduce Power,Normal Operation
28,23,95851,12517,Core 0-3,0.8224390940815035,0,0.6426557105384828,Core 0-3,27,Reduce Power,Normal Operation
15,28,86620,33837,Core 4-7,0.4534462613979793,0,0.6219647075154797,Core 0-3,14,Reduce Power,Normal Operation
28,21,91418,38380,Core 4-7,0.6709400869772537,0,0.7550605542792159,Core 0-3,27,Reduce Power,Normal Operation
7,7,67100,1855,Core 4-7,0.0,0,0.6727036589034711,Core 0-3,6,Reduce Power,Normal Operation
12,13,42348,41324,Core 4-7,0.3067729582442989,0,0.6360016134451416,Core 0-3,11,Reduce Power,Normal Operation
29,20,7320,16586,Core 4-7,0.9789845264902928,0,0.6285752907849159,Core 0-3,28,Reduce Power,Normal Operation
8,24,9012,22015,Core 0-3,0.6526520318263296,0,0.7264184725013237,Core 0-3,7,Reduce Power,Normal Operation
15,29,37225,14720,Core 4-7,0.5436485289721318,0,0.7636981647267929,Core 0-3,14,Reduce Power,Normal Operation
3,27,52034,47766,Core 0-3,0.8681257660854309,0,0.5810812651383183,Core 0-3,2,Reduce Power,Normal Operation
14,26,85651,34102,Core 4-7,0.2778527497969999,0,0.6459319421169694,Core 0-3,13,Reduce Power,Normal Operation
17,13,40276,11808,Core 0-3,0.753841817005865,0,0.6392943385273835,Core 0-3,16,Reduce Power,Normal Operation
4,27,61445,1469,Core 4-7,0.3285000668676748,0,0.642979406017263,Core 0-3,3,Reduce Power,Normal Operation
18,26,83920,33860,Core 0-3,0.5189290812860813,0,0.7522454647358472,Core 0-3,17,Reduce Power,Normal Operation
8,7,47955,754,Core 0-3,0.1750298079550818,0,0.6718796872012893,Core 0-3,7,Reduce Power,Normal Operation
4,10,83988,10806,Core 0-3,0.4232770061192877,0,0.6172642413863865,Core 0-3,3,Reduce Power,Normal Operation
2,15,52933,28041,Core 4-7,0.7647308204355154,0,0.6153744085471241,Core 0-3,1,Reduce Power,Normal Operation
6,21,10211,3161,Core 0-3,0.3978816083084839,0,0.6114080435535549,Core 0-3,5,Reduce Power,Normal Operation
22,27,59762,15809,Core 4-7,0.5986151999344612,0,0.7574859777158176,Core 0-3,21,Reduce Power,Normal Operation
10,6,86509,42062,Core 4-7,0.402650227022377,0,0.6134197545128243,Core 0-3,9,Reduce Power,Normal Operation
4,5,84285,18723,Core 0-3,0.5861321593201694,0,0.780950659523735,Core 0-3,3,Reduce Power,Normal Operation
22,23,10097,6405,Core 4-7,0.648958902654074,0,0.7178797213858716,Core 0-3,21,Reduce Power,Normal Operation
29,28,60567,2931,Core 4-7,0.3643828906041936,0,0.6146196868263674,Core 0-3,28,Reduce Power,Normal Operation
18,2,88020,8256,Core 4-7,0.3269215476542492,0,0.6402810734074984,Core 0-3,17,Reduce Power,Normal Operation
26,21,48522,5853,Core 4-7,0.4195543625980467,0,0.6172642413863865,Core 0-3,25,Reduce Power,Normal Operation
12,15,82424,2237,Core 0-3,0.4151928689375039,0,0.6183658175644734,Core 0-3,11,Reduce Power,Normal Operation
2,26,19282,17368,Core 4-7,0.0951964234478728,0,0.6720172483895774,Core 0-3,1,Reduce Power,Normal Operation
10,16,52282,32976,Core 0-3,0.5669866227445388,0,0.7838423516555804,Core 0-3,9,Reduce Power,Normal Operation
4,19,72644,24825,Core 4-7,0.5763270076831088,0,0.7735541726341486,Core 0-3,3,Reduce Power,Normal Operation
14,9,99151,12826,Core 0-3,0.1406646743762059,0,0.6743669912103033,Core 0-3,13,Reduce Power,Normal Operation
16,29,55513,25086,Core 0-3,0.667792051104976,0,0.7500519886567928,Core 0-3,15,Reduce Power,Normal Operation
15,22,72536,13411,Core 4-7,0.4200454438946507,0,0.6172642413863865,Core 0-3,14,Reduce Power,Normal Operation
8,29,35842,29580,Core 4-7,0.5656561652909746,0,0.7840007112142564,Core 0-3,7,Reduce Power,Normal Operation
14,26,86245,23135,Core 4-7,0.4503600902543251,0,0.6183737998734066,Core 0-3,13,Reduce Power,Normal Operation
23,19,21477,5713,Core 4-7,0.5652104746305923,0,0.7840007112142564,Core 0-3,22,Reduce Power,Normal Operation
28,7,57896,39495,Core 4-7,0.5234337757294422,1,0.7570362538222681,Core 0-3,27,Reduce Power,Normal Operation
25,4,50521,28440,Core 0-3,0.6755733107087393,0,0.7499305674047011,Core 0-3,24,Reduce Power,Normal Operation
8,3,69557,44547,Core 0-3,0.500380879928225,1,0.6950031708453941,Core 0-3,7,Reduce Power,Normal Operation
21,24,67336,49104,Core 0-3,0.6507983460142215,0,0.7286996548666994,Core 0-3,20,Reduce Power,Normal Operation
16,29,27575,23865,Core 4-7,0.7849570657977261,0,0.5895500666679934,Core 0-3,15,Reduce Power,Normal Operation
13,20,90015,9296,Core 4-7,0.4835972716644766,0,0.6374229321679956,Core 0-3,12,Reduce Power,Normal Operation
18,11,31302,49619,Core 4-7,0.4473175934150837,0,0.6168940859234513,Core 0-3,17,Reduce Power,Normal Operation
15,1,78261,17852,Core 0-3,0.6125235265387,0,0.80782864623911,Core 0-3,14,Reduce Power,Normal Operation
21,6,77517,17320,Core 4-7,0.0878604037070912,0,0.6720172483895774,Core 0-3,20,Reduce Power,Normal Operation
24,26,87253,11466,Core 0-3,0.3251793063693452,0,0.6383568817162893,Core 0-3,23,Reduce Power,Normal Operation
26,11,56322,47235,Core 0-3,0.3181758438907094,0,0.6284584134175689,Core 0-3,25,Reduce Power,Normal Operation
25,27,52103,2309,Core 4-7,0.610432082976171,0,0.8155198849281633,Core 0-3,24,Reduce Power,Normal Operation
28,1,80791,39814,Core 0-3,0.5300222319496037,0,0.7662635206875288,Core 0-3,27,Reduce Power,Normal Operation
28,21,90950,41375,Core 0-3,0.753623040887261,0,0.6564014298366068,Core 0-3,27,Reduce Power,Normal Operation
28,7,36092,6005,Core 0-3,0.7416289858652387,0,0.6999863942989154,Core 0-3,27,Reduce Power,Normal Operation
13,6,56506,31149,Core 4-7,0.1077790127955074,0,0.6721699350298332,Core 0-3,12,Reduce Power,Normal Operation
9,14,26769,5757,Core 0-3,0.1626863587074433,0,0.6711238236683635,Core 0-3,8,Reduce Power,Normal Operation
29,2,50638,15551,Core 4-7,0.5077297692852661,0,0.6958963973418997,Core 0-3,28,Reduce Power,Normal Operation
15,27,62898,5409,Core 4-7,0.1906121247186196,0,0.6718796872012893,Core 0-3,14,Reduce Power,Normal Operation
13,4,90591,27845,Core 0-3,0.1055518628208038,0,0.6721699350298332,Core 0-3,12,Reduce Power,Normal Operation
1,11,20374,15366,Core 4-7,0.3524101426515618,0,0.6241340964485307,Core 0-3,0,Reduce Power,Normal Operation
25,15,57728,43289,Core 0-3,0.0829934836911969,0,0.6720172483895774,Core 0-3,24,Reduce Power,Normal Operation
7,18,63170,25368,Core 4-7,0.2944682604710689,1,0.6353984594002896,Core 0-3,6,Reduce Power,Normal Operation
9,27,8425,48626,Core 4-7,0.64227992990375,0,0.7686910314155595,Core 0-3,8,Reduce Power,Normal Operation
24,1,3607,29027,Core 4-7,0.402796784920713,0,0.6134197545128243,Core 0-3,23,Reduce Power,Normal Operation
1,3,86888,961,Core 4-7,0.7995457666648782,0,0.5890134144605468,Core 0-3,0,Reduce Power,Normal Operation
12,3,96219,28960,Core 4-7,0.3863683532122671,0,0.6042207692738254,Core 0-3,11,Reduce Power,Normal Operation
8,28,28117,49000,Core 4-7,0.6106222286977516,0,0.8175309940336816,Core 0-3,7,Reduce Power,Normal Operation
24,7,74758,3733,Core 4-7,0.3941113423161569,0,0.5999652778416895,Core 0-3,23,Reduce Power,Normal Operation
11,1,50575,12628,Core 0-3,0.4567849422428124,0,0.6158280912708828,Core 0-3,10,Reduce Power,Normal Operation
19,25,23131,5702,Core 0-3,0.4215462475381432,0,0.6172642413863865,Core 0-3,18,Reduce Power,Normal Operation
17,11,62944,36207,Core 0-3,0.6112328873101638,0,0.8156499562919247,Core 0-3,16,Reduce Power,Normal Operation
8,6,97658,31758,Core 4-7,0.644893315673184,0,0.7488995490770488,Core 0-3,7,Reduce Power,Normal Operation
3,20,8383,48465,Core 0-3,0.9122977016594312,0,0.6109449790662915,Core 0-3,2,Reduce Power,Normal Operation
3,3,20208,31738,Core 4-7,0.5029748594497224,0,0.6942375713191568,Core 0-3,2,Reduce Power,Normal Operation
1,19,46721,14222,Core 4-7,0.6095690297285247,0,0.8082953491781688,Core 0-3,0,Reduce Power,Normal Operation
27,2,17697,46266,Core 4-7,0.2946435074803344,1,0.6353984594002896,Core 0-3,26,Reduce Power,Normal Operation
5,18,21634,49740,Core 4-7,0.6375356718952563,0,0.7695500364494618,Core 0-3,4,Reduce Power,Normal Operation
10,12,34050,18547,Core 4-7,0.5050467129043507,0,0.6991436111606464,Core 0-3,9,Reduce Power,Normal Operation
7,29,15142,3801,Core 4-7,0.0,0,0.6727036589034711,Core 0-3,6,Reduce Power,Normal Operation
26,10,20939,33044,Core 4-7,0.3262432104638835,1,0.6383568817162893,Core 0-3,25,Reduce Power,Normal Operation
9,5,98279,32083,Core 4-7,0.0852636568640247,0,0.6720172483895774,Core 0-3,8,Reduce Power,Normal Operation
28,9,25083,28013,Core 0-3,0.3523225908470271,0,0.6241340964485307,Core 0-3,27,Reduce Power,Normal Operation
7,2,94385,16140,Core 4-7,0.5613164633448787,0,0.7802533518547229,Core 0-3,6,Reduce Power,Normal Operation
9,2,80038,22913,Core 0-3,0.4402498331636327,1,0.6190810233972499,Core 0-3,8,Reduce Power,Normal Operation
8,28,62514,17305,Core 0-3,0.6232142238252866,0,0.787827248508354,Core 0-3,7,Reduce Power,Normal Operation
12,6,20023,20633,Core 4-7,0.0305052095121118,0,0.6727036589034711,Core 0-3,11,Reduce Power,Normal Operation
2,29,71043,49399,Core 0-3,0.6916620833051346,0,0.7505970057893184,Core 0-3,1,Reduce Power,Normal Operation
1,10,86471,21855,Core 4-7,0.5491164580971564,0,0.7578170641001517,Core 0-3,0,Reduce Power,Normal Operation
16,18,91129,23729,Core 0-3,0.2470013484331942,0,0.6638838565078928,Core 0-3,15,Reduce Power,Normal Operation
23,12,77330,4933,Core 4-7,0.495012776621141,0,0.6863316506455185,Core 0-3,22,Reduce Power,Normal Operation
23,4,46038,33533,Core 0-3,0.9382051879582304,0,0.5999493860313273,Core 0-3,22,Reduce Power,Normal Operation
24,22,47810,36118,Core 4-7,0.793045933989001,0,0.5834124333821086,Core 0-3,23,Reduce Power,Normal Operation
5,21,11408,1878,Core 0-3,0.835513157048657,0,0.6176533585072579,Core 0-3,4,Reduce Power,Normal Operation
3,17,57790,7003,Core 4-7,0.4574201842104233,0,0.6158280912708828,Core 0-3,2,Reduce Power,Normal Operation
12,15,54134,40425,Core 4-7,0.7272932857178904,0,0.7152603940205082,Core 0-3,11,Reduce Power,Normal Operation
8,6,13199,43274,Core 0-3,0.762045212898955,0,0.6254624070810187,Core 0-3,7,Reduce Power,Normal Operation
22,16,67412,34117,Core 0-3,0.2912223119899956,0,0.6336954572625931,Core 0-3,21,Reduce Power,Normal Operation
27,17,14755,5314,Core 0-3,0.7581321047971237,0,0.6151415697308092,Core 0-3,26,Reduce Power,Normal Operation
3,3,79683,24263,Core 0-3,0.7128321307412608,0,0.7295583175074176,Core 0-3,2,Reduce Power,Normal Operation
1,10,60782,10500,Core 4-7,0.365431219376947,0,0.6146196868263674,Core 0-3,0,Reduce Power,Normal Operation
3,5,58749,15788,Core 0-3,0.518693658381279,0,0.7522454647358472,Core 0-3,2,Reduce Power,Normal Operation
5,14,38676,3774,Core 0-3,0.7716389645774324,0,0.6013412177842997,Core 0-3,4,Reduce Power,Normal Operation
15,26,8663,14727,Core 4-7,0.488406761013046,0,0.6571805222651145,Core 0-3,14,Reduce Power,Normal Operation
14,29,54710,17779,Core 4-7,0.6766812367953146,0,0.7540367486401209,Core 0-3,13,Reduce Power,Normal Operation
3,21,72479,9868,Core 4-7,0.4057123600469705,0,0.6149743371046159,Core 0-3,2,Reduce Power,Normal Operation
1,13,79360,45213,Core 0-3,0.2810090013449934,0,0.6422486669766547,Core 0-3,0,Reduce Power,Normal Operation
5,26,21643,43236,Core 0-3,0.2601841625739182,0,0.6540533089754718,Core 0-3,4,Reduce Power,Normal Operation
26,6,5420,31506,Core 0-3,0.4437476751326565,0,0.6171950645493726,Core 0-3,25,Reduce Power,Normal Operation
23,12,83411,27880,Core 0-3,0.587661923118386,0,0.7886885035075929,Core 0-3,22,Reduce Power,Normal Operation
14,26,38496,28468,Core 4-7,0.1485540034223243,0,0.6743669912103033,Core 0-3,13,Reduce Power,Normal Operation
7,8,12248,10151,Core 0-3,0.8852489667247658,0,0.5911426417164481,Core 0-3,6,Reduce Power,Normal Operation
27,5,94571,14403,Core 0-3,0.7135553185074994,0,0.7280310379310072,Core 0-3,26,Reduce Power,Normal Operation
9,15,81751,19427,Core 4-7,0.6027603884234193,0,0.7996298387432514,Core 0-3,8,Reduce Power,Normal Operation
15,27,47752,8271,Core 4-7,0.6631568838983809,0,0.7395305919087621,Core 0-3,14,Reduce Power,Normal Operation
15,16,63679,13960,Core 4-7,0.3704632314278325,0,0.6172163490842856,Core 0-3,14,Reduce Power,Normal Operation
26,1,6950,5137,Core 0-3,0.2048286696612301,0,0.6764332645795722,Core 0-3,25,Reduce Power,Normal Operation
10,16,53256,46190,Core 0-3,0.5819687435767049,0,0.769114149802637,Core 0-3,9,Reduce Power,Normal Operation
28,5,50735,41334,Core 4-7,0.7088302647896629,0,0.7270121413703896,Core 0-3,27,Reduce Power,Normal Operation
13,3,91046,4053,Core 0-3,0.401240393945543,0,0.6134197545128243,Core 0-3,12,Reduce Power,Normal Operation
19,20,520,34617,Core 0-3,0.3111647580508679,0,0.6302639084932625,Core 0-3,18,Reduce Power,Normal Operation
7,15,80753,36254,Core 4-7,0.3916003255822013,0,0.5965728434936466,Core 0-3,6,Reduce Power,Normal Operation
17,13,10164,24080,Core 4-7,0.5962293218203233,1,0.7633939142208779,Core 0-3,16,Reduce Power,Normal Operation
20,24,67135,12022,Core 4-7,0.6203888855613325,0,0.79094814600015,Core 0-3,19,Reduce Power,Normal Operation
29,16,23725,35390,Core 0-3,0.8620023459099158,0,0.5778197635007402,Core 0-3,28,Reduce Power,Normal Operation
4,23,68673,28704,Core 0-3,0.5892686824937525,0,0.7922974139132272,Core 0-3,3,Reduce Power,Normal Operation
5,11,85833,14392,Core 0-3,0.3333882363370398,0,0.6434619528416853,Core 0-3,4,Reduce Power,Normal Operation
23,21,40725,9189,Core 4-7,0.4405233200303229,0,0.6135064790450812,Core 0-3,22,Reduce Power,Normal Operation
7,2,11307,28563,Core 0-3,0.2905576024881791,0,0.6426069195318572,Core 0-3,6,Reduce Power,Normal Operation
13,22,83774,14562,Core 0-3,0.7213715300568722,0,0.7318707684841335,Core 0-3,12,Reduce Power,Normal Operation
15,27,6902,1863,Core 4-7,0.2769623021167195,0,0.6459319421169694,Core 0-3,14,Reduce Power,Normal Operation
11,6,5021,17191,Core 0-3,0.3868958169439453,0,0.6042207692738254,Core 0-3,10,Reduce Power,Normal Operation
29,26,63665,3251,Core 0-3,0.5962856806592993,1,0.7730391068943134,Core 0-3,28,Reduce Power,Normal Operation
4,26,8882,8282,Core 4-7,0.8190590814157026,0,0.6383537685634003,Core 0-3,3,Reduce Power,Normal Operation
13,27,15565,18148,Core 4-7,1.0,0,0.5645031472978264,Core 0-3,12,Reduce Power,Normal Operation
7,6,85970,13040,Core 4-7,0.2319254918089817,0,0.6638501041453998,Core 0-3,6,Reduce Power,Normal Operation
27,14,14925,46491,Core 4-7,0.6275199261641986,0,0.7769244722667756,Core 0-3,26,Reduce Power,Normal Operation
19,25,13611,5839,Core 4-7,0.4953983029947815,0,0.6863316506455185,Core 0-3,18,Reduce Power,Normal Operation
22,11,41299,27520,Core 0-3,0.4501406773944896,0,0.6183737998734066,Core 0-3,21,Reduce Power,Normal Operation
28,8,53757,28109,Core 4-7,0.4434244262780033,0,0.6171950645493726,Core 0-3,27,Reduce Power,Normal Operation
2,8,61677,6348,Core 4-7,0.2530661010437792,0,0.6638838565078928,Core 0-3,1,Reduce Power,Normal Operation
10,1,81546,17377,Core 4-7,0.8333597929458485,0,0.629434131601252,Core 0-3,9,Reduce Power,Normal Operation
13,21,38351,18905,Core 0-3,0.0838122990753731,0,0.6720172483895774,Core 0-3,12,Reduce Power,Normal Operation
25,7,9316,49129,Core 0-3,0.4704779711247753,0,0.5903017597494457,Core 0-3,24,Reduce Power,Normal Operation
21,6,78353,46733,Core 4-7,0.7994748395870078,0,0.5890134144605468,Core 0-3,20,Reduce Power,Normal Operation
6,21,2675,21971,Core 0-3,0.5454169986349975,0,0.7451339243632016,Core 0-3,5,Reduce Power,Normal Operation
28,8,11841,3802,Core 0-3,0.3659414154435524,0,0.6146196868263674,Core 0-3,27,Reduce Power,Normal Operation
28,19,64408,14937,Core 0-3,0.3740513661456047,0,0.6199947620467698,Core 0-3,27,Reduce Power,Normal Operation
12,22,26154,48430,Core 4-7,0.675861959498739,0,0.7499305674047011,Core 0-3,11,Reduce Power,Normal Operation
12,21,61395,15012,Core 0-3,0.4388465967725777,0,0.6191280087706929,Core 0-3,11,Reduce Power,Normal Operation
20,24,60196,32936,Core 0-3,0.4935916377662165,0,0.6656669599970428,Core 0-3,19,Reduce Power,Normal Operation
11,20,58389,24011,Core 4-7,0.624440563723502,0,0.781114962728261,Core 0-3,10,Reduce Power,Normal Operation
26,8,87644,5522,Core 4-7,0.6860385632748879,0,0.7470260818273714,Core 0-3,25,Reduce Power,Normal Operation
23,26,83615,43739,Core 0-3,0.3883804565959857,0,0.6022206847549146,Core 0-3,22,Reduce Power,Normal Operation
28,14,30694,6655,Core 4-7,0.2268709308771625,0,0.6638501041453998,Core 0-3,27,Reduce Power,Normal Operation
25,18,35337,31980,Core 4-7,0.2994273570883541,0,0.6353984594002896,Core 0-3,24,Reduce Power,Normal Operation
7,25,69394,38522,Core 4-7,0.7761985985718725,0,0.5984744915405449,Core 0-3,6,Reduce Power,Normal Operation
1,29,84858,25832,Core 4-7,0.5136954351851508,0,0.7376167900234478,Core 0-3,0,Reduce Power,Normal Operation
1,16,42076,4854,Core 0-3,0.2501624194954263,0,0.6638838565078928,Core 0-3,0,Reduce Power,Normal Operation
25,9,20227,32347,Core 4-7,0.3133277902524442,0,0.6302639084932625,Core 0-3,24,Reduce Power,Normal Operation
27,15,35079,35784,Core 4-7,0.7329021572252039,0,0.7140185387191447,Core 0-3,26,Reduce Power,Normal Operation
25,26,97054,49140,Core 0-3,0.5173640168558591,0,0.7515384224153506,Core 0-3,24,Reduce Power,Normal Operation
20,10,17055,10656,Core 4-7,0.1650512735323638,0,0.6711238236683635,Core 0-3,19,Reduce Power,Normal Operation
13,29,53794,22953,Core 0-3,0.2795709055386577,0,0.6422486669766547,Core 0-3,12,Reduce Power,Normal Operation
9,22,50277,33189,Core 4-7,0.7305734228720868,0,0.7085242555298032,Core 0-3,8,Reduce Power,Normal Operation
3,16,6406,24258,Core 0-3,0.3864337959108734,0,0.6042207692738254,Core 0-3,2,Reduce Power,Normal Operation
7,4,41251,9338,Core 4-7,0.9189595571431728,0,0.6163498816299956,Core 0-3,6,Reduce Power,Normal Operation
6,20,70099,46002,Core 4-7,0.8830909210643489,0,0.5882531716058758,Core 0-3,5,Reduce Power,Normal Operation
